sheetname,column,type,list,error level,notes
Samples,record_id,uniqueValue,,error,
Samples,record_id,RequiredColumn,,error,
Samples,ind_plant_id,RequiredColumn,,error,this is a new rule to just specify a single required column
Samples,Phenophase_Description,RequiredColumn,,error,
Samples,Latitude,RequiredColumn,,error,
Samples,Longitude,RequiredColumn,,error,
Samples,year,RequiredColumn,,error,
Samples,dayofyear,RequiredColumn,,error,
Samples,Phenophase_Description,controlledVocabulary,phenophase_description.csv,error,
Samples,"Lower_Intensity_Value,Upper_Intensity_Value",minimumMaximumNumberCheck,,error,
