spreadsheet sheet name,spreadsheet column name,internal uri,datatype,dataformat,defined by,displayAnnotationProperty,definition,entity alias,notes
Samples,record_id,http://rs.tdwg.org/dwc/terms/EventID,integer,,,,Record Identifier,"wholePlant, phenologicalObservingProcess",
Samples,LAT,http://rs.tdwg.org/dwc/terms/decimalLatitude,float,,,,Decimal Latitude,"location, plantStructurePresence, measurementDatum",each column can contain multiple entity aliases where it can appear.  Use comma seperation 
Samples,LON,http://rs.tdwg.org/dwc/terms/decimalLongitude,float,,,,Decimal Longitude,"location, plantStructurePresence, measurementDatum",
Samples,ALT,http://rs.tdwg.org/dwc/terms/minimumElevationInMeters,string,,,,Minimum Elevation In Meters,"location, plantStructurePresence, measurementDatum",
Samples,NAME,http://rs.tdwg.org/dwc/terms/location,string,,,,Location name,"location, plantStructurePresence, measurementDatum",
Samples,scientificname,http://rs.tdwg.org/dwc/terms/scientificName,string,,,,Scientific Name,"taxon, identificationAssertion",
Samples,genus,http://rs.tdwg.org/dwc/terms/genus,string,,,,Common Name,taxon,
Samples,description,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,string,,,,Whole plant phenological stage,plantStructurePresence,"Using rdf:type indicates the values will be object properties, in this case defined by a list association in rules.csv."
Samples,YEAR,http://rs.tdwg.org/dwc/terms/Event,date,YYYY-MM-DD,,,The date the observation took place,"phenologicalObservingProcess, plantStructurePresence, measurementDatum",
Samples,DAY,http://rs.tdwg.org/dwc/terms/startDayOfYear,integer,,,,Day of year the observation took place,"phenologicalObservingProcess, plantStructurePresence, measurementDatum",
Samples,phenophase_status,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,string,,,FALSE,,plantStructurePresence,Note that all of PEP725 is status is true
